Município;Cód. IBGE;UF;Região;Fabricante;Doses Aplicadas;Dose 1;Dose 2
Abadia De Goiás;520005;GO;Centro-Oeste;BUTANTAN/SINOVAC;2713;1434;1279
Abadia De Goiás;520005;GO;Centro-Oeste;FIOCRUZ/ASTRAZENECA;2500;2288;212
Abadia De Goiás;520005;GO;Centro-Oeste;PFIZER/BIONTECH;275;275;0
Abadia De Goiás;520005;GO;Centro-Oeste;JANSSEN;55;0;0
Abadia Dos Dourados;310010;MG;Sudeste;FIOCRUZ/ASTRAZENECA;2325;2203;122
Abadia Dos Dourados;310010;MG;Sudeste;BUTANTAN/SINOVAC;1589;823;766
Abadia Dos Dourados;310010;MG;Sudeste;PFIZER/BIONTECH;270;270;0
Abadia Dos Dourados;310010;MG;Sudeste;JANSSEN;50;0;0
Abadiânia;520010;GO;Centro-Oeste;FIOCRUZ/ASTRAZENECA;5822;5479;343
Abadiânia;520010;GO;Centro-Oeste;BUTANTAN/SINOVAC;3712;2118;1594
Abadiânia;520010;GO;Centro-Oeste;PFIZER/BIONTECH;976;976;0
Abadiânia;520010;GO;Centro-Oeste;JANSSEN;234;0;0
Abaeté;310020;MG;Sudeste;FIOCRUZ/ASTRAZENECA;5728;5145;583
Abaeté;310020;MG;Sudeste;BUTANTAN/SINOVAC;5681;2952;2729
Abaeté;310020;MG;Sudeste;PFIZER/BIONTECH;1059;1059;0
Abaeté;310020;MG;Sudeste;JANSSEN;21;0;0
Abaetetuba;150010;PA;Norte;FIOCRUZ/ASTRAZENECA;55370;45946;9424
Abaetetuba;150010;PA;Norte;BUTANTAN/SINOVAC;17450;9351;8099
Abaiara;230010;CE;Nordeste;BUTANTAN/SINOVAC;986;774;212
Abaiara;230010;CE;Nordeste;FIOCRUZ/ASTRAZENECA;224;223;1
Abaíra;290010;BA;Nordeste;FIOCRUZ/ASTRAZENECA;4187;3543;644
Abaíra;290010;BA;Nordeste;BUTANTAN/SINOVAC;2953;1519;1434
Abaíra;290010;BA;Nordeste;PFIZER/BIONTECH;210;210;0
Abaíra;290010;BA;Nordeste;JANSSEN;35;0;0
Abaré;290020;BA;Nordeste;BUTANTAN/SINOVAC;4985;2628;2357
Abaré;290020;BA;Nordeste;FIOCRUZ/ASTRAZENECA;4193;3547;646
Abaré;290020;BA;Nordeste;PFIZER/BIONTECH;871;868;3
Abaré;290020;BA;Nordeste;JANSSEN;220;0;0
Abatiá;410010;PR;Sul;FIOCRUZ/ASTRAZENECA;2756;2613;143
Abatiá;410010;PR;Sul;BUTANTAN/SINOVAC;2002;1057;945
Abatiá;410010;PR;Sul;PFIZER/BIONTECH;296;296;0
Abatiá;410010;PR;Sul;JANSSEN;46;0;0
Abdon Batista;420005;SC;Sul;FIOCRUZ/ASTRAZENECA;1172;902;270
Abdon Batista;420005;SC;Sul;BUTANTAN/SINOVAC;876;485;391
Abdon Batista;420005;SC;Sul;PFIZER/BIONTECH;252;252;0
Abdon Batista;420005;SC;Sul;JANSSEN;80;0;0
Abel Figueiredo;150013;PA;Norte;FIOCRUZ/ASTRAZENECA;1576;1234;342
Abel Figueiredo;150013;PA;Norte;BUTANTAN/SINOVAC;477;276;201
Abel Figueiredo;150013;PA;Norte;JANSSEN;154;0;0
Abelardo Luz;420010;SC;Sul;FIOCRUZ/ASTRAZENECA;4576;4184;392
