"municipio.x";"cod_ibge";"uf";"total_doses";"total_dose_1";"total_dose_2";"populacao";"cobertura_vacinal_dose_1";"cobertura_vacinal_dose_2"
"Pedro Avelino";240970;"RN";19111;13905;4458;6653;209;67
"Flora Rica";351580;"SP";2669;1699;931;1430;118,8;65,1
"Barra Do Rio Azul";430192;"RS";2747;1730;971;1655;104,5;58,7
"Engenho Velho";430692;"RS";1420;864;535;982;88;54,5
"Pilões";241000;"RN";7892;5758;1994;3869;148,8;51,5
"Alcântara";210020;"MA";25231;14929;10302;22112;67,5;46,6
"Benjamin Constant Do Sul";430205;"RS";2435;1498;891;1958;76,5;45,5
"Cássia Dos Coqueiros";351090;"SP";3972;2747;1131;2505;109,7;45,1
"São João Das Missões";316245;"MG";14437;8529;5908;13125;65;45
"Nova Canaã Paulista";353284;"SP";2747;1869;832;1852;100,9;44,9
"Marcação";250905;"PB";9765;5931;3834;8653;68,5;44,3
"Santiago Do Sul";421569;"SC";1925;1336;541;1235;108,2;43,8
"Charrua";430537;"RS";3553;2117;1416;3252;65,1;43,5
"Maratá";431179;"RS";3950;2695;1160;2702;99,7;42,9
"São Valério Do Sul";431973;"RS";2940;1711;1170;2729;62,7;42,9
"Cacique Doble";430320;"RS";6245;3945;2172;5074;77,7;42,8
"Uru";355590;"SP";1784;1239;492;1153;107,5;42,7
"Gramado Dos Loureiros";430912;"RS";2567;1668;844;2058;81;41
"Carnaubeira Da Penha";260392;"PE";13006;7706;5300;13025;59,2;40,7
"Guabiju";430925;"RS";1977;1337;605;1490;89,7;40,6
"Baía Da Traição";250140;"PB";9927;6252;3675;9096;68,7;40,4
"Arco-Íris";350335;"SP";2073;1348;706;1773;76;39,8
"Santa Salete";354765;"SP";1917;1246;613;1552;80,3;39,5
"São Miguel Da Boa Vista";421715;"SC";2526;1814;712;1807;100,4;39,4
"Cruzália";351330;"SP";2572;1745;763;2046;85,3;37,3
"Professor Jamil";521839;"GO";3169;1967;1187;3203;61,4;37,1
"Santa Terezinha Do Progresso";421568;"SC";2925;1977;880;2372;83,3;37,1
"Irati";420785;"SC";2446;1674;697;1909;87,7;36,5
"Barra Do Ribeiro";430190;"RS";14376;9245;4927;13556;68,2;36,3
"Matutina";314120;"MG";4007;2553;1355;3741;68,2;36,2
"Colorado";430560;"RS";3318;2142;1119;3130;68,4;35,8
"Fortaleza Dos Valos";430845;"RS";5468;3822;1516;4285;89,2;35,4
"Marinópolis";352910;"SP";2496;1685;737;2106;80;35
"Japorã";500480;"MS";8089;4820;3219;9243;52,1;34,8
"Cavalcante";520530;"GO";9201;5850;3331;9725;60,2;34,3
"Antônio Prado De Minas";310310;"MG";1766;1192;542;1587;75,1;34,2
"Maetinga";291995;"BA";3476;2510;941;2764;90,8;34
"Alto Feliz";430057;"RS";3327;2277;1027;3036;75;33,8
"Nossa Senhora Do Livramento";510610;"MT";10498;6006;4444;13202;45,5;33,7
"São José Do Inhacorá";431849;"RS";2256;1508;690;2056;73,3;33,6
"Formigueiro";430840;"RS";6722;4367;2218;6616;66;33,5
"São João Do Polêsine";431843;"RS";2643;1727;851;2543;67,9;33,5
"Santa Tereza";431725;"RS";1638;1035;578;1726;60;33,5
"Coqueiro Baixo";430583;"RS";1520;979;501;1495;65,5;33,5
"Jardim Do Seridó";240570;"RN";15582;11373;4098;12396;91,7;33,1
"Catolândia";290740;"BA";3580;2361;1192;3599;65,6;33,1
"Santa Clara D'Oeste";354610;"SP";2439;1672;699;2113;79,1;33,1
"Coqueiros Do Sul";430585;"RS";2763;1984;755;2286;86,8;33
"Desterro Do Melo";312150;"MG";2414;1432;953;2884;49,7;33
"Fernão";351565;"SP";2012;1388;564;1727;80,4;32,7
"Três Arroios";432163;"RS";2638;1710;862;2643;64,7;32,6
"Paiva";314660;"MG";1396;894;496;1523;58,7;32,6
"Cromínia";520650;"GO";3252;2110;1130;3472;60,8;32,5
"Porto Mauá";431505;"RS";2264;1455;765;2352;61,9;32,5
"Relvado";431545;"RS";1868;1153;675;2079;55,5;32,5
"Doutor Maurício Cardoso";430673;"RS";4046;2554;1438;4462;57,2;32,2
"Águas De São Pedro";350060;"SP";3327;2099;1132;3521;59,6;32,1
"Monte Belo Do Sul";431238;"RS";2345;1488;796;2530;58,8;31,5
"Lagoa Dos Três Cantos";431127;"RS";1620;1068;506;1607;66,5;31,5
"Descanso";420490;"SC";8491;5699;2575;8192;69,6;31,4
"Coronel Pilar";430593;"RS";1565;1040;505;1614;64,4;31,3
"Turmalina";355530;"SP";1849;1276;529;1696;75,2;31,2
"Severiano De Almeida";432060;"RS";3663;2470;1124;3631;68;31
"Passabém";314750;"MG";1537;950;507;1633;58,2;31
"General Carneiro";510390;"MT";5068;3246;1727;5592;58;30,9
"Paim Filho";431360;"RS";3530;2277;1169;3778;60,3;30,9
"Pirapó";431455;"RS";2287;1570;697;2254;69,7;30,9
"Tigrinhos";421795;"SC";1986;1429;501;1619;88,3;30,9
"Pongaí";354010;"SP";3742;2604;1047;3400;76,6;30,8
"Travesseiro";432162;"RS";2148;1375;718;2334;58,9;30,8
